CASRN,DTXSID,SMILES
1799-75-3,DTXSID70170880,C1=CC=C(C=C1)CNC(=O)C(C(F)(F)F)(F)F
1799-84-4,DTXSID8061979,CC(=C)C(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1799-92-4,DTXSID00775625,C1=CC(=CC=C1[N+](=O)[O-])OC(=O)C(C(C(F)(F)F)(F)F)(F)F
180091-39-8,DTXSID10711519,C1=CC2=C(C=C1C(=O)Cl)OC(C(O2)(F)F)(F)F
1800-91-5,DTXSID20170895,C=CC(C(C(C(C(C(C=C)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
18017-20-4,DTXSID70379912,C(CI)C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F
18017-22-6,DTXSID30896650,C(=O)(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+]
18017-31-7,DTXSID0066296,C(=O)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F
18024-09-4,DTXSID7066300,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
1805-22-7,DTXSID7061982,C1(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F
1807450-20-9,DTXSID30896352,C1=CC(=NC=C1C(C(F)(F)F)(C(F)(F)F)F)Cl
180748-44-1,DTXSID30896190,C1=CC=C(C=C1)C2=NC(=CC(=O)N2)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1810-11-3,DTXSID60629514,C(C(C(F)(F)F)(F)F)C(F)(F)I
1810-13-5,DTXSID10880173,C1C(C(CN1)(F)F)(F)F.Cl
181042-39-7,DTXSID00379703,C(CCCO)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
181044-06-4,DTXSID30895981,C1C(OC(=O)O1)COCC(C(C(F)(F)F)(F)F)(F)F
181059-73-4,DTXSID50448190,C1=CC=C2C(=C1)C(=CC=N2)C(C(C(F)(F)F)(F)F)(F)F
181059-80-3,DTXSID70452810,CCOC(C1=CC=CC=C1N)(C(C(C(F)(F)F)(F)F)(F)F)OCC
181214-66-4,DTXSID50432695,CCOC(C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F
181214-74-4,DTXSID40895412,COC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
181214-75-5,DTXSID00634006,CCOC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
1812247-17-8,DTXSID00896602,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F)O
1812247-18-9,DTXSID60896603,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(C(F)(F)F)F)O
1812247-19-0,DTXSID20896604,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)O
1812247-20-3,DTXSID60896567,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F)(F)F)O
1813-40-7,DTXSID20775566,C12=C3C(=C(C(=C1C(C(C2=C(C(=C3F)F)F)(F)F)(F)F)F)F)F
1813-83-8,DTXSID70880174,C(CI)C(C(C(C(C(C(CCI)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1814-80-8,DTXSID30897021,C(CCNC(=O)C(C(C(F)(F)F)(F)F)(F)F)CCNC(=O)C(C(C(F)(F)F)(F)F)(F)F
1814-88-6,DTXSID90171137,CC(C(F)(F)F)(F)F
1816282-96-8,DTXSID90895684,C1=CC(=NC=C1Br)C(C(C(F)(F)F)(F)F)(F)F
1816283-32-5,DTXSID80895698,C1=CN=C(C=C1Cl)C(C(C(F)(F)F)(F)F)(F)F
1816283-37-0,DTXSID40895699,C1=CN=C(C=C1Br)C(C(C(F)(F)F)(F)F)(F)F
1816284-43-1,DTXSID60896360,C1=CC(=C(N=C1)Cl)C(C(F)(F)F)(C(F)(F)F)F
1816285-38-7,DTXSID10896350,C1=C(C=NC=C1Br)C(C(F)(F)F)(C(F)(F)F)F
1816286-71-1,DTXSID80896347,C1=CN=C(C=C1C(C(F)(F)F)(C(F)(F)F)F)Cl
181649-25-2,DTXSID20571181,CCOP(=O)(NS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OCC
181765-99-1,DTXSID10895464,C(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
181997-60-4,DTXSID20895213,C(CCBr)CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
182130-12-7,DTXSID40895230,CCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
182130-14-9,DTXSID80895254,CCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
182130-15-0,DTXSID60895257,CCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1821830-40-3,DTXSID201022287,C([C@H](C(=O)O)N)C(C(F)(F)F)(F)F
182243-54-5,DTXSID10896294,C(C(C(F)(F)F)(C(F)(F)F)F)N
1823355-24-3,DTXSID001022936,C(=C(F)F)(C(C(F)(F)F)(F)Cl)Cl
182505-69-7,DTXSID40896722,C(S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1828-40-6,DTXSID60895510,C(=C(F)F)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F
183162-43-8,DTXSID30379812,C(C(C(C(C(C(C(C(C(C(C(CO)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
183301-46-4,DTXSID10552020,C1(=O)OC(C(O1)(F)F)(F)F
1835249-87-0,DTXSID50895221,CCCCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1835250-28-6,DTXSID30895229,CCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1835250-47-9,DTXSID50895246,CCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1835251-22-3,DTXSID90895260,CCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1835251-91-6,DTXSID60895237,C(CCCCC(C(C(F)(F)F)(F)F)(F)F)CCCC(C(C(F)(F)F)(F)F)(F)F
1835251-92-7,DTXSID70895203,C(CC(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F
1835251-99-4,DTXSID90895326,C(CCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1835252-00-0,DTXSID10895282,C(CCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1835252-03-3,DTXSID30895264,C(CCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1835252-07-7,DTXSID90895407,C(CCCCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
1835255-18-9,DTXSID90895427,C(CCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1835255-24-7,DTXSID60895378,C(CCCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
1835255-25-8,DTXSID50895327,C(CCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
1835255-38-3,DTXSID90895265,C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
183547-74-2,DTXSID40475879,C(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CI
18381-53-8,DTXSID80171484,CCOC(=O)C(C(C(C(=O)Cl)(F)F)(F)F)(F)F
183849-01-6,DTXSID70775359,C1=CC=[N+](C=C1)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F.[Br-]
183873-54-3,DTXSID00896506,CC(C)COC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F
183873-55-4,DTXSID20896508,CCCCCOC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F
183873-56-5,DTXSID90896510,CC(C)CCOC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F
183873-57-6,DTXSID10896512,CCCCCCOC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F
183873-58-7,DTXSID70570760,CCCCCCCCCCOC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F
183997-46-8,DTXSID10896052,C1=CC(=CC=C1[N+](=O)[O-])OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
184007-06-5,DTXSID40895336,C(CCCCCBr)CCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
184007-51-0,DTXSID00775302,COC(=O)[C@H]1[C@H](O1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1840-17-1,DTXSID50896298,C(=C(F)F)C(C(F)(F)F)(C(F)(F)F)F
1841-46-9,DTXSID10171538,CC(=C)C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1842-23-5,DTXSID00573643,C(C(CO)I)C(C(C(CC(CO)I)(F)F)(F)F)(F)F
18448-29-8,DTXSID20697618,C1=CC=C(C=C1)COC2=C(C(C2(F)F)(F)F)Cl
184484-18-2,DTXSID20578251,COC1=C(C(=C(C(=N1)OC)F)SC(C(F)(F)F)(F)F)F
184711-88-4,DTXSID60775146,CC=CC(=O)C(C(F)(F)F)(C(F)(F)F)F
184773-24-8,DTXSID40775124,C1CNC(NCCN1)C(C(C(C(F)F)(F)F)(F)F)(F)F
184782-98-7,DTXSID70578529,C1=C(NN=C1)C(C(F)(F)F)(F)F
184783-37-7,DTXSID60895616,CCOC=CC(=O)C(C(C(F)(F)F)(F)F)(F)F
184899-81-8,DTXSID20731440,C(OC(C(C(F)(F)F)(F)F)(F)F)F
185033-98-1,DTXSID40774950,CCCCCCCCCCCCCCCCCCC(CCCCCCCCC(=O)Cl)CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
185230-63-1,DTXSID50895761,COC(=O)C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
185689-57-0,DTXSID90471144,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
185697-78-3,DTXSID60474900,C(CC(C(C(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)O)C(C(C(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)O
185911-29-9,DTXSID10896673,C(C[Si](O)(O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
18599-03-6,DTXSID80297693,CC(=C)CC(C(C(F)(F)F)(F)F)(Cl)Cl
18599-20-7,DTXSID9066388,C(CBr)C(C(F)(F)Br)(F)F
18599-22-9,DTXSID4066389,C=CC(C(F)(F)Br)(F)F
18621-12-0,DTXSID20570917,C(CCl)C(C(C(F)(F)F)(F)F)(Cl)Cl
186599-45-1,DTXSID40895634,CN(C)[Si](CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(N(C)C)N(C)C
186599-46-2,DTXSID40692943,CN(C)[Si](C(C(C(CCC(F)(F)F)(F)F)(F)F)(F)F)(N(C)C)N(C)C
186599-47-3,DTXSID50895600,CN(C)[Si](C)(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(C)C
1867-95-4,DTXSID20336792,CCCCCCCCOC(=O)C(C(F)(F)F)(F)F
1868-86-6,DTXSID30880155,C(C(C(C(C(C(C(C(C(=O)[O-])(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[NH4+]
186907-75-5,DTXSID00395680,C=CCOCC(C(F)(F)F)(F)F
1869-77-8,DTXSID3062027,CCN(CC(=O)OCC)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1870-13-9,DTXSID80892925,C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1870-16-2,DTXSID80578257,C(=O)(C(=O)C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(C(F)(F)F)F
187039-77-6,DTXSID60896002,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
18739-03-2,DTXSID00711088,C1=CC(=CC(=C1)Br)C(C(F)(F)F)(F)F
18739-65-6,DTXSID60895656,COC1=CC=CC(=C1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
18770-61-1,DTXSID60336751,CCCCCCCCCC(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
18770-62-2,DTXSID10337273,CCCCCCCC(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
18770-65-5,DTXSID20336873,CCCCCCCCCC(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
18770-69-9,DTXSID50343515,CC1=CC(=C(C(=C1)C)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F)C
18798-10-2,DTXSID20337264,CCCCCCCCCC(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F
188034-84-6,DTXSID00896041,C1=CC(=CC=C1C(=O)O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
188189-52-8,DTXSID30895168,C(CC(F)(F)F)C(C(C(F)(F)F)(F)F)(F)F
188190-34-3,DTXSID201032876,CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
1882109-58-1,DTXSID20896568,C(=O)(C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F)O
1882109-59-2,DTXSID80896569,C(=O)(C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)C(F)(F)F)O
1882109-60-5,DTXSID90896570,C(=O)(C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(C(F)(F)F)(F)F)F)O
1882109-61-6,DTXSID50896571,C(=O)(C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(C(F)(F)F)F)F)O
1882109-63-8,DTXSID70896573,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)C(F)(F)F)O
1882109-64-9,DTXSID30896574,C(=O)(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F)O
1882109-65-0,DTXSID90896575,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(C(C(F)(F)F)(F)F)F)O
1882109-66-1,DTXSID50896576,C(=O)(C(C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)O
1882109-67-2,DTXSID10896577,C(=O)(C(C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)C(F)(F)F)(F)F)O
1882109-68-3,DTXSID70896578,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F)(F)F)O
1882109-69-4,DTXSID30896579,C(=O)(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(C(F)(F)F)C(F)(F)F)O
1882109-70-7,DTXSID40896580,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)C(F)(F)F)O
1882109-71-8,DTXSID00896581,C(=O)(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)F)O
1882109-72-9,DTXSID60896582,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)F)(C(F)(F)F)F)O
1882109-73-0,DTXSID20896583,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)F)(C(F)(F)F)F)O
1882109-74-1,DTXSID80896584,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)C(F)(F)F)(F)F)O
1882109-75-2,DTXSID40896585,C(=O)(C(C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)F)(F)F)O
1882109-76-3,DTXSID00896586,C(=O)(C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(C(F)(F)F)(F)F)(F)F)F)O
1882109-77-4,DTXSID60896587,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F)O
1882109-78-5,DTXSID20896588,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F)(F)F)O
1882109-79-6,DTXSID80896589,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F)(F)F)(F)F)O
1882109-80-9,DTXSID90896590,C(=O)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(C(F)(F)F)F)O
1882109-81-0,DTXSID50896591,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(C(F)(F)F)F)(F)F)O
188298-09-1,DTXSID60895434,C=CCOCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
188492-56-0,DTXSID20896028,CC1=CC=C(C=C1)S(=O)(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
188534-35-2,DTXSID60895696,CS(=O)(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
188596-18-1,DTXSID40882983,CCN(CC)CC.C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F
188630-32-2,DTXSID40774435,C(C(C(C(C(OC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N
188690-77-9,DTXSID90896838,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F
188690-78-0,DTXSID80940374,C(OC(C(OC(F)F)(F)F)(F)F)(F)F
1887067-55-1,DTXSID00897013,C(COP(=O)(OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
188711-29-7,DTXSID10774386,C1=CC=C(C=C1)COC(=O)C(C(C(F)(F)I)(F)F)(F)F
188715-78-8,DTXSID90774384,C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OC(=O)OOC(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F
1890-47-7,DTXSID50940407,C1C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C3CC(C3(F)F)(F)F
189077-31-4,DTXSID20443293,C1=CC(=CC=C1C(=O)O)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
189154-79-8,DTXSID80447691,C=C(C(C(F)(F)F)(F)F)C(F)(F)F
189160-58-5,DTXSID00774092,C(CO)N(CCO)CC(CC(C(C(F)(F)F)(F)F)(F)F)O
189196-62-1,DTXSID60774058,C1=CC(=CC=C1O)SC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1892-03-1,DTXSID3074654,C1=C(C(C(C1(F)F)(F)F)(F)F)F
189217-62-7,DTXSID50659926,[Li+].C1(C(S(=O)(=O)[N-]S(=O)(=O)C1(F)F)(F)F)(F)F
189237-57-8,DTXSID80336758,CCOC(=O)C(C(=O)C)C(C(C(F)(F)F)(F)F)(F)F
189244-65-3,DTXSID60570714,C(=NC(C(C(C(C(F)F)(F)F)(F)F)(F)F)Cl)=O
1893-52-3,DTXSID6062048,CCN(CCOC(=O)C=C)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
189389-79-5,DTXSID80773922,CCCCCCCCCCCCCCCCCCOCC(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F
189396-84-7,DTXSID70578908,COC1=CC=C(C=C1)N=CC(C(F)(F)F)(F)F
1895-14-3,DTXSID50892937,C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1895-26-7,DTXSID30172360,C(COP(=O)(O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
189575-10-8,DTXSID60663074,C1=C(C=C(C(=C1Br)OC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)Br)Br
189762-31-0,DTXSID40617252,C1=CC(=CC=C1C(C(C(F)(F)F)(F)F)F)Br
1898-91-5,DTXSID30502941,C1(=O)C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F
190394-25-3,DTXSID10893364,CC1=CC(=C(S1)C)C2=C(C(C(C2(F)F)(F)F)(F)F)C3=C(SC(=C3)C)C
190579-86-3,DTXSID00578456,CCO[Si](CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC
19089-73-7,DTXSID90587491,C=CC(=O)OC(C(F)(F)F)(F)F
190909-04-7,DTXSID40773625,C(CO)C(C(C(C(C(C(C(CCO)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
191018-25-4,DTXSID10724841,C(=C(F)F)(OC(C(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)F
19108-36-2,DTXSID60897014,C1(=C(C(=C(C(=C1F)F)F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)O
19108-37-3,DTXSID40896020,C1(=C(C(=C(C(=C1F)F)F)F)F)C(=O)C(C(C(F)(F)F)(F)F)(F)F
19108-38-4,DTXSID20895753,C1(=C(C(=C(C(=C1F)F)F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
1911606-13-7,DTXSID90894132,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
19116-61-1,DTXSID50405743,CO[Si](CCCOC(C(F)(F)F)(C(F)(F)F)F)(OC)OC
191213-11-3,DTXSID10773612,CCCCCCCCSSCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
19190-57-9,DTXSID40460361,C(=O)(C(C(F)(F)F)(OC(C(C(C(=O)F)(F)F)(F)F)(F)F)F)F
19190-61-5,DTXSID60880229,COC(=O)C(C(C(OC(=C(F)F)F)(F)F)(F)F)(F)F
192082-41-0,DTXSID90773554,C1=CC=C(C(=C1)C=CC=O)N(C(C(O)(F)F)(F)F)C(C(O)(F)F)(F)F
192326-53-7,DTXSID00773505,C=CCOCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OC(=O)[O-]
19237-73-1,DTXSID20604605,C(#N)C(C(C(C(OC(=C(F)F)F)(F)F)(F)F)(F)F)(F)F
192569-10-1,DTXSID80453212,C(C(F)(F)I)(OS(=O)(=O)Cl)(F)F
192569-12-3,DTXSID80477938,C(#N)C(C(F)(F)F)(F)I
192998-56-4,DTXSID10773273,C(C(F)(F)S(=O)(=O)F)(N(C(F)(F)F)C(F)(F)F)(F)F
192998-90-6,DTXSID50773272,C=CCOCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F
193008-44-5,DTXSID30773270,CN(C(=O)C(C(C(F)(F)F)(F)F)(F)F)O
193021-67-9,DTXSID80892945,C[N+](C)(CCCNC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]
193197-68-1,DTXSID40474908,C1=CC(=CC=C1C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)P(C2=CC=C(C=C2)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C3=CC=C(C=C3)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
193203-75-7,DTXSID40773241,COCCCC1=C(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F
193622-77-4,DTXSID60773162,C(C[Si](Cl)(Cl)Cl)C(C(C(C(CC[Si](Cl)(Cl)Cl)(F)F)(F)F)(F)F)(F)F
193758-80-4,DTXSID80773144,C=CC(=O)OCCC(C(F)(F)Br)(F)F
193828-95-4,DTXSID20618646,C=CC[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC=C)CC=C
194017-85-1,DTXSID40773105,CC(=O)O.C(C(O)I)C(C(F)(F)Cl)(F)Cl
194031-59-9,DTXSID90773099,CC(C)[C@@H](C(=O)O)NCCSCCC(=O)C(C(C(F)(F)F)(F)F)(F)F
19430-93-4,DTXSID6047575,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
194348-01-1,DTXSID90773039,C1CC(OC1)CC(C(C(C(F)F)(F)F)(F)F)F
