CASRN,DTXSID,SMILES
101948-89-4,DTXSID30896110,CC1=C(C(=CC=C1)C)NC(=O)C(C(C(F)(F)F)(F)F)(F)F
102061-82-5,DTXSID10893309,C(C(C(F)(F)S(=O)[O-])(F)F)(C(F)(F)F)(F)F.[Na+]
102197-77-3,DTXSID70543939,C1=CC=C(C=C1)COCCCCCCCCCCCCCCCC(C(C(F)(F)F)(F)F)(F)F
102335-26-2,DTXSID60761165,C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O[P+](=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1023815-51-1,DTXSID60895939,C1=C(N=C(N=C1Cl)C(C(C(F)(F)F)(F)F)(F)F)Cl
102390-98-7,DTXSID40701160,CCO[Si](CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC
1023972-12-4,DTXSID80895597,CN(C)CC(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O
1024003-32-4,DTXSID101022591,C(CC(C(F)(F)F)(F)F)CCl
102488-47-1,DTXSID00145182,C[Si](C)(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)Cl
102488-49-3,DTXSID40382352,C(C[Si](Cl)(Cl)Cl)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
102488-50-6,DTXSID00382353,C(C[Si](Cl)(Cl)Cl)C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
102489-63-4,DTXSID40907605,C1CC2CC1C3C2SSC(C3(F)F)(F)F
102489-64-5,DTXSID00907606,C1CC2CC1C3C2SC(C(S3)(F)F)(F)F
102489-65-6,DTXSID60907607,C1CC2CC1C3=C2SC(C3(F)F)(F)F
102489-70-3,DTXSID50907611,C1CC2CC1C3C2[Se]C(C3(F)F)(F)F
10249-10-2,DTXSID10598741,C1=CC=C(C=C1)OC(=O)C(C(F)(F)F)(OC2=CC=CC=C2)F
102516-93-8,DTXSID50907671,C1=C2C(=CC(=C1Cl)Cl)N=C(N2)C(C(F)(F)F)(F)F
10258-49-8,DTXSID40382054,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)I
102585-21-7,DTXSID80907846,C1=CC2=C3C(=C1)C4C(C3=CC=C2)SC(C4(F)F)(F)F
1026739-75-2,DTXSID00896824,C(C(C(C(F)(F)F)(F)F)(F)F)OC(=O)OCC(C(C(F)(F)F)(F)F)(F)F
102682-83-7,DTXSID30761218,C(=C(F)I)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F
10271-35-9,DTXSID30896357,C1(=NC(=NC(=N1)F)F)C(C(F)(F)F)(C(F)(F)F)F
10271-36-0,DTXSID70896376,C1(=NC(=NC(=N1)F)C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(C(F)(F)F)F
10271-37-1,DTXSID30896377,C1(=NC(=NC(=N1)C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(C(F)(F)F)F
102780-88-1,DTXSID70371572,C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)I
102780-89-2,DTXSID10553633,C1=CC=C(C=C1)SC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F
1030606-42-8,DTXSID50896031,CC1=C(NC2=CC=CC=C12)C(C(C(F)(F)F)(F)F)(F)F
103082-65-1,DTXSID30549417,C1=CC(=C(C=C1[N+](=O)[O-])Cl)OC(C(F)(F)Br)(F)F
103082-67-3,DTXSID90549418,C1=CC2=C(C=C1N)C(C(O2)(F)F)(F)F
103119-64-8,DTXSID401022245,C(CS)C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
103147-30-4,DTXSID10549657,CCCCCC(CC(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)I
