CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
1763-23-1,DTXSID3031864,Perfluorooctanesulfonic acid,,,,782.4,,,,,
307-35-7,DTXSID5027140,Perfluorooctanesulfonyl fluoride,,,,29070,,,,,
307-35-7,DTXSID5027140,Perfluorooctanesulfonyl fluoride,,,,52.55,,,,,
307-35-7,DTXSID5027140,Perfluorooctanesulfonyl fluoride,,,,782.4,,,,,
307-35-7,DTXSID5027140,Perfluorooctanesulfonyl fluoride,,,,4.943,,,,,
45285-51-6,DTXSID40892486,Perfluorooctanoate,,,,29070,,,,,
45285-51-6,DTXSID40892486,Perfluorooctanoate,,,,782.4,,,,,
45285-51-6,DTXSID40892486,Perfluorooctanoate,,,,4.943,,,,,
45285-51-6,DTXSID40892486,Perfluorooctanoate,,,,52.55,,,,,
335-67-1,DTXSID8031865,Perfluorooctanoic acid,,,,29070,,,,,
335-67-1,DTXSID8031865,Perfluorooctanoic acid,,,,782.4,,,,,
335-67-1,DTXSID8031865,Perfluorooctanoic acid,,,,52.55,,,,,
335-67-1,DTXSID8031865,Perfluorooctanoic acid,,,,4.943,,,,,
864071-08-9,DTXSID80896968,"Perfluoro-n-(1,2-13C2)octanoic acid",,,,29070,,,,,
864071-08-9,DTXSID80896968,"Perfluoro-n-(1,2-13C2)octanoic acid",,,,782.4,,,,,
864071-08-9,DTXSID80896968,"Perfluoro-n-(1,2-13C2)octanoic acid",,,,4.943,,,,,
864071-08-9,DTXSID80896968,"Perfluoro-n-(1,2-13C2)octanoic acid",,,,52.55,,,,,
42268-97-3,DTXSID30195099,Perfluorooctanoic acid diethanolamide,,,,29070,,,,,
42268-97-3,DTXSID30195099,Perfluorooctanoic acid diethanolamide,,,,782.4,,,,,
33496-48-9,DTXSID80880387,Perfluorooctanoic anhydride,,,,29070,,,,,
33496-48-9,DTXSID80880387,Perfluorooctanoic anhydride,,,,782.4,,,,,
335-66-0,DTXSID0059829,Perfluorooctanoyl fluoride,,,,29070,,,,,
335-66-0,DTXSID0059829,Perfluorooctanoyl fluoride,,,,52.55,,,,,
335-66-0,DTXSID0059829,Perfluorooctanoyl fluoride,,,,782.4,,,,,
507-63-1,DTXSID0060147,Perfluorooctyl iodide,,,,29070,,,,,
507-63-1,DTXSID0060147,Perfluorooctyl iodide,,,,52.55,,,,,
507-63-1,DTXSID0060147,Perfluorooctyl iodide,,,,782.4,,,,,
507-63-1,DTXSID0060147,Perfluorooctyl iodide,,,,4.943,,,,,
15498-46-1,DTXSID10435829,perfluorooctyl methacrylate,,,,29070,,,,,
15498-46-1,DTXSID10435829,perfluorooctyl methacrylate,,,,782.4,,,,,
40143-78-0,DTXSID80879832,(Perfluorooctyl)phosphonic acid,,,,29070,,,,,
40143-78-0,DTXSID80879832,(Perfluorooctyl)phosphonic acid,,,,782.4,,,,,
2357-60-0,DTXSID40880181,Perfluorooctylsulfonylpropylaminoethyl acrylate,,,,29070,,,,,
2357-60-0,DTXSID40880181,Perfluorooctylsulfonylpropylaminoethyl acrylate,,,,782.4,,,,,
376-87-4,DTXSID70880139,Perfluoropent-1-ene,,,,52.55,,,,,
376-87-4,DTXSID70880139,Perfluoropent-1-ene,,,,4.943,,,,,
3/1/2264,DTXSID10375110,Perfluoropentadecane,,,,29070,,,,,
3/1/2264,DTXSID10375110,Perfluoropentadecane,,,,52.55,,,,,
3/1/2264,DTXSID10375110,Perfluoropentadecane,,,,782.4,,,,,
141074-63-7,DTXSID30893341,Perfluoropentadecanoic acid,,,,29070,,,,,
141074-63-7,DTXSID30893341,Perfluoropentadecanoic acid,,,,782.4,,,,,
355-81-7,DTXSID70366226,Perfluoropentanamide,,,,29070,,,,,
355-81-7,DTXSID70366226,Perfluoropentanamide,,,,52.55,,,,,
355-81-7,DTXSID70366226,Perfluoropentanamide,,,,4.943,,,,,
355-81-7,DTXSID70366226,Perfluoropentanamide,,,,782.4,,,,,
68555-78-2,DTXSID6071667,Perfluoropentane sulfonamido amine,,,,29070,,,,,
68555-78-2,DTXSID6071667,Perfluoropentane sulfonamido amine,,,,782.4,,,,,
376-73-8,DTXSID8059926,Perfluoropentanedioic acid,,,,29070,,,,,
376-73-8,DTXSID8059926,Perfluoropentanedioic acid,,,,52.55,,,,,
376-73-8,DTXSID8059926,Perfluoropentanedioic acid,,,,4.943,,,,,
376-73-8,DTXSID8059926,Perfluoropentanedioic acid,,,,782.4,,,,,
175905-36-9,DTXSID70892479,Perfluoropentanesulfonate,,,,29070,,,,,
175905-36-9,DTXSID70892479,Perfluoropentanesulfonate,,,,782.4,,,,,
175905-36-9,DTXSID70892479,Perfluoropentanesulfonate,,,,52.55,,,,,
2706-91-4,DTXSID8062600,Perfluoropentanesulfonic acid,,,,29070,,,,,
2706-91-4,DTXSID8062600,Perfluoropentanesulfonic acid,,,,782.4,,,,,
2706-91-4,DTXSID8062600,Perfluoropentanesulfonic acid,,,,52.55,,,,,
375-81-5,DTXSID50880137,Perfluoropentanesulfonyl fluoride,,,,52.55,,,,,
375-81-5,DTXSID50880137,Perfluoropentanesulfonyl fluoride,,,,4.943,,,,,
45167-47-3,DTXSID00892487,Perfluoropentanoate,,,,52.55,,,,,
45167-47-3,DTXSID00892487,Perfluoropentanoate,,,,4.943,,,,,
2706-90-3,DTXSID6062599,Perfluoropentanoic acid,,,,52.55,,,,,
2706-90-3,DTXSID6062599,Perfluoropentanoic acid,,,,4.943,,,,,
308-28-1,DTXSID00377825,Perfluoropentanoic anhydride,,,,29070,,,,,
308-28-1,DTXSID00377825,Perfluoropentanoic anhydride,,,,52.55,,,,,
308-28-1,DTXSID00377825,Perfluoropentanoic anhydride,,,,782.4,,,,,
308-28-1,DTXSID00377825,Perfluoropentanoic anhydride,,,,4.943,,,,,
375-62-2,DTXSID9059917,Perfluoropentanoyl fluoride,,,,52.55,,,,,
375-62-2,DTXSID9059917,Perfluoropentanoyl fluoride,,,,4.943,,,,,
116265-66-8,DTXSID40881335,Perfluoroperhydrobenzyl tetralin,,,,29070,,,,,
116265-66-8,DTXSID40881335,Perfluoroperhydrobenzyl tetralin,,,,782.4,,,,,
307-08-4,DTXSID90380005,Perfluoroperhydrofluorene,,,,29070,,,,,
307-08-4,DTXSID90380005,Perfluoroperhydrofluorene,,,,782.4,,,,,
105579-92-8,DTXSID20276407,Perfluoropropanamine,,,,52.55,,,,,
105579-92-8,DTXSID20276407,Perfluoropropanamine,,,,4.943,,,,,
110676-15-8,DTXSID00892967,Perfluoropropane sulfonate,,,,52.55,,,,,
110676-15-8,DTXSID00892967,Perfluoropropane sulfonate,,,,782.4,,,,,
110676-15-8,DTXSID00892967,Perfluoropropane sulfonate,,,,4.943,,,,,
152894-03-6,DTXSID801022823,Perfluoropropanesulfonamide,,,,29070,,,,,
152894-03-6,DTXSID801022823,Perfluoropropanesulfonamide,,,,52.55,,,,,
152894-03-6,DTXSID801022823,Perfluoropropanesulfonamide,,,,4.943,,,,,
152894-03-6,DTXSID801022823,Perfluoropropanesulfonamide,,,,782.4,,,,,
423-41-6,DTXSID30870531,Perfluoropropanesulfonic acid,,,,52.55,,,,,
423-41-6,DTXSID30870531,Perfluoropropanesulfonic acid,,,,782.4,,,,,
423-41-6,DTXSID30870531,Perfluoropropanesulfonic acid,,,,4.943,,,,,
44864-55-3,DTXSID10892478,Perfluoropropanoate,,,,52.55,,,,,
