CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
197703-75-6,DTXSID50423109,"Phosphine, methylbis(pentafluoroethyl)-",,,,52.55,,,,,
197703-75-6,DTXSID50423109,"Phosphine, methylbis(pentafluoroethyl)-",,,,4.943,,,,,
195324-93-7,DTXSID70454874,"Phosphine, tris[3-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)phenyl]-",,,,29070,,,,,
195324-93-7,DTXSID70454874,"Phosphine, tris[3-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)phenyl]-",,,,782.4,,,,,
71463-81-5,DTXSID0072356,(3-(Ethyl((perfluoroheptyl)sulfonyl)amino)propyl)phosphonic acid diethyl ester,,,,29070,,,,,
71463-81-5,DTXSID0072356,(3-(Ethyl((perfluoroheptyl)sulfonyl)amino)propyl)phosphonic acid diethyl ester,,,,782.4,,,,,
71463-80-4,DTXSID5072355,"Phosphonic acid, [3-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]propyl]-, diethyl ester",,,,29070,,,,,
71463-80-4,DTXSID5072355,"Phosphonic acid, [3-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]propyl]-, diethyl ester",,,,782.4,,,,,
646029-82-5,DTXSID901023743,"(Perfluoro-1,4,7-trimethyl-2,5,8-trioxaundecyl)ethylphosphonic acid  diethyl ester",,,,29070,,,,,
646029-82-5,DTXSID901023743,"(Perfluoro-1,4,7-trimethyl-2,5,8-trioxaundecyl)ethylphosphonic acid  diethyl ester",,,,782.4,,,,,
646029-84-7,DTXSID201023742,"(Perfluoro-1,4,7-trimethyl-2,5,8-trioxaundecyl)ethylphosphonic acid  monoethyl ester",,,,29070,,,,,
646029-84-7,DTXSID201023742,"(Perfluoro-1,4,7-trimethyl-2,5,8-trioxaundecyl)ethylphosphonic acid  monoethyl ester",,,,782.4,,,,,
